date,value
2015-4-26 12:15,3666
2015-4-26 12:20,3177
2015-4-26 12:25,3675
2015-4-26 12:30,3257
2015-4-26 12:35,3115
2015-4-26 12:40,3320
2015-4-26 12:45,3460
2015-4-26 12:50,5132
2015-4-26 12:55,4199
2015-4-26 13:00,3718
2015-4-26 13:05,3898
2015-4-26 13:10,3888
2015-4-26 13:15,3299
2015-4-26 13:20,3219
2015-4-26 13:25,4630
2015-4-26 13:30,4223
2015-4-26 13:35,4474
2015-4-26 13:40,4155
2015-4-26 13:45,3864
2015-4-26 13:50,5174
2015-4-26 13:55,4288
2015-4-26 14:00,3221
2015-4-26 14:05,3492
2015-4-26 14:10,3761
2015-4-26 14:15,3002
2015-4-26 14:20,2682
2015-4-26 14:25,3464
2015-4-26 14:30,3330
2015-4-26 14:35,3319
2015-4-26 14:40,3044
2015-4-26 14:45,2418
2015-4-26 14:50,3941
2015-4-26 14:55,3380
2015-4-26 15:00,3627
2015-4-26 15:05,2625
2015-4-26 15:10,2524
2015-4-26 15:15,2703
2015-4-26 15:20,2588
2015-4-26 15:25,3027
2015-4-26 15:30,2735
2015-4-26 15:35,2834
2015-4-26 15:40,3364
2015-4-26 15:45,2947
2015-4-26 15:50,4679
2015-4-26 15:55,4465
2015-4-26 16:00,4202
2015-4-26 16:05,3507
2015-4-26 16:10,3416
2015-4-26 16:15,3850
2015-4-26 16:20,4250
2015-4-26 16:25,3711
2015-4-26 16:30,3408
2015-4-26 16:35,3085
2015-4-26 16:40,3493
2015-4-26 16:45,2850
2015-4-26 16:50,5446
2015-4-26 16:55,3926
2015-4-26 17:00,2543
2015-4-26 17:05,2772
2015-4-26 17:10,2827
2015-4-26 17:15,2769
2015-4-26 17:20,2600
2015-4-26 17:25,3704
2015-4-26 17:30,3241
2015-4-26 17:35,3188
2015-4-26 17:40,3449
2015-4-26 17:45,3149
2015-4-26 17:50,4805
2015-4-26 17:55,5444
2015-4-26 18:00,8210
2015-4-26 18:05,7378
2015-4-26 18:10,4153
2015-4-26 18:15,3187
2015-4-26 18:20,3288
2015-4-26 18:25,3132
2015-4-26 18:30,3510
